,freq,pos,rank,rank*prob,word
0,34389,NN,1,0.05761121767755878,the
1,22078,DT,2,0.07397368134491511,and
2,16629,NN,3,0.08357471331764155,to
3,14871,NN,4,0.09965237931698818,of
4,10444,DT,5,0.08748314249097443,a
5,9939,NN,6,0.09990367137699671,he
6,8992,NN,7,0.10544884950118526,“
7,8959,NN,8,0.1200706968328824,”
8,8871,NN,9,0.1337527118601476,in
9,8073,NN,10,0.13524538669659833,that
10,7965,NN,11,0.14677969225099052,his
11,7326,VB,12,0.14727725052980742,was
12,7254,NN,13,0.1579822922861714,’
13,5647,NN,14,0.1324443178677031,with
14,5547,NN,15,0.1393917056867393,it
15,5354,VB,16,0.14351122019047938,had
16,4802,JJ,17,0.13675984017824985,not
17,4697,NN,18,0.1416382567032157,her
18,4572,NN,19,0.14552825779214798,him
19,4520,DT,20,0.15144534816514915,at
20,4481,NN,21,0.15764556092575996,i
21,4394,NN,22,0.16194600571270615,s
22,4010,NN,23,0.1545111112972534,but
23,3986,NN,24,0.160264024191049,on
24,3974,DT,25,0.16643910774565893,as
25,3775,NN,26,0.16442877126559058,you
26,3495,NN,27,0.158087834951375,for
27,3467,NN,28,0.1626295201159294,she
28,3302,NN,29,0.16042150054865434,is
29,2835,VB,30,0.14248259802484442,said
30,2755,DT,31,0.14307732256686465,all
31,2685,JJ,32,0.14394009197289395,from
32,2431,NN,33,0.13439601953376948,be
33,2408,NN,34,0.1371585569134634,were
34,2381,NN,35,0.1396094921387467,what
35,2380,NN,36,0.1435380246768803,by
36,2238,NN,37,0.1387232688071166,they
37,2129,NN,38,0.13553353492540815,who
38,2105,JJ,39,0.13753214444267609,one
39,2055,NN,40,0.13770804888468208,this
40,2010,NN,41,0.13805985776869403,which
41,1972,VB,42,0.13875342385431763,have
42,1951,NN,43,0.1405442986019785,pierre
43,1924,NN,44,0.14182253754722196,prince
44,1851,NN,45,0.13954248092274443,so
45,1616,DT,46,0.12453364381863415,an
46,1549,JJ,47,0.12196543896534683,up
47,1539,NN,48,0.12375631371300772,there
48,1513,NN,49,0.12420026301902282,or
49,1485,NN,51,0.12687736109831382,when
50,1479,NN,52,0.12884246500758065,did
51,1475,NN,53,0.1309650452744528,been
52,1437,NN,54,0.12999840848361993,their
53,1392,NNS,55,0.1282594674283608,no
54,1362,NN,56,0.12777698667314444,would
55,1305,JJ,57,0.12461573255823694,now
56,1290,JJ,58,0.12534447953226172,only
57,1281,NN,59,0.12661601735590494,if
58,1264,NN,60,0.12705326554031982,me
59,1259,DT,61,0.12865985944397443,are
60,1224,JJ,62,0.12713367899952255,out
61,1222,NN,63,0.1289731368787851,my
62,1206,RB,64,0.12930484239799636,natásha
63,1169,VB,65,0.12729618119832808,man
64,1154,NN,66,0.12759605638993826,t
65,1136,DT,67,0.1275089418091353,andrew
66,1110,NNS,68,0.12645016459629932,could
67,1057,NN,69,0.12218322541735423,will
68,1053,NN,70,0.12348491828819849,more
69,1047,NN,71,0.1245353190990342,we
70,1030,NN,72,0.12423879446822413,do
71,1012,NN,73,0.12376301483460794,himself
72,1007,DT,74,0.12483854485144451,about
73,1004,NN,75,0.12614861412428904,into
74,998,NN,76,0.12706666778352027,how
75,934,NN,77,0.12048281581129641,then
76,921,NN,78,0.12034879337929186,time
77,915,NN,79,0.12109764371811732,princess
78,891,VB,80,0.11941398691606007,face
79,872,JJ,81,0.11832840521682317,french
80,859,NN,82,0.11800340081921211,went
81,842,NN,83,0.11707864603838067,some
82,839,NN,84,0.11806706147441429,know
83,834,DT,85,0.11876062756003786,after
84,822,VB,86,0.11842892204082658,can
85,821,NN,87,0.11966025313486846,before
86,820,NN,88,0.12088823366811019,eyes
87,807,NN,89,0.120323664173291,your
88,801,JJ,90,0.1207709640401062,old
89,800,NN,91,0.12196041312414665,very
90,782,NN,92,0.1205263731016979,men
91,772,NN,93,0.12027843160248948,rostóv
92,767,NN,94,0.12078436628330667,room
93,764,NN,95,0.12159185143613413,thought
94,752,NN,96,0.12094184264091201,go
95,733,NN,97,0.11911411172444988,like
96,732,NNS,98,0.12017791477848605,chapter
97,728,NN,99,0.12074080899290518,see
98,719,NNS,100,0.12045266076409539,count
99,714,NN,101,0.12081117076970758,began
100,711,NN,102,0.12149468517293081,moscow
101,703,DT,103,0.12130537848772438,again
102,702,VB,104,0.1223088714473585,has
103,690,NN,105,0.12137406498412673,down
104,681,NN,106,0.12093179095851168,well
105,678,NNS,108,0.1226707320137708,come
106,668,DT,109,0.12198051648894734,asked
107,665,JJ,110,0.1225467612641666,still
108,663,VB,112,0.12439962138662958,same
109,661,NN,113,0.12513171892145447,without
110,650,(,114,0.12413827764422071,(
111,647,NN,117,0.12681705100391177,looked
112,638,VB,119,0.12719063853312448,say
113,628,JJ,120,0.12624913094829246,felt
114,626,NN,121,0.12689578918271446,nicholas
115,625,NN,122,0.12774013050434316,emperor
116,620,NN,123,0.12775688330834373,our
117,618,NN,125,0.12941541090440012,first
118,614,DT,126,0.1296063928700066,another
119,611,DT,127,0.1299967332032199,away
120,605,NN,128,0.12973371418041094,left
121,599,JJ,129,0.12945059179280133,over
122,597,NN,130,0.13001851184842061,something
123,594,NN,131,0.13036026905003226,life
124,587,NN,132,0.12980742651801344,these
125,586,NN,133,0.13056800381963932,two
126,584,NN,134,0.13110074298685742,such
127,579,NN,135,0.13094829247045223,seemed
128,578,JJ,136,0.13169044168767746,other
129,568,RB,137,0.13036361961083237,napoleon
130,567,NN,138,0.13108399018285685,head
131,563,NN,140,0.13204560113248956,just
132,559,VB,141,0.1320439258520895,day
133,554,NN,142,0.13179095851168088,little
134,551,DT,143,0.132000368561688,am
135,548,NN,145,0.133117780588526,people
136,538,VB,146,0.13158992486367405,hand
137,537,NN,147,0.13224495950009632,why
138,534,NN,148,0.13240076057730163,don
139,532,NN,149,0.13279612675171507,than
140,531,NN,150,0.13343608386453684,whole
141,524,NN,151,0.13255488637410687,kutúzov
142,518,NN,152,0.13190487757888478,should
143,516,VB,153,0.13226003702369685,back
144,511,NN,154,0.13183451580208239,long
145,501,NN,155,0.1300938994664232,even
146,498,JJ,156,0.13014918371962508,own
147,497,NN,157,0.1307204543360445,heard
148,496,NN,158,0.1312883743916638,general
149,492,NN,159,0.13105383513565583,here
150,491,VB,160,0.13161002822847473,way
151,487,VB,161,0.13135371032726603,having
152,484,NNS,163,0.13216622132129363,countess
153,475,NN,164,0.13050434316443715,look
154,472,NN,165,0.130470837556436,must
155,464,DT,166,0.12903679753398725,always
156,462,JJ,167,0.12925458398599465,nothing
157,460,NN,170,0.13100692728445423,being
158,458,VB,171,0.13120461037166095,made
159,453,NN,172,0.13053114765083806,russian
160,445,NN,173,0.12897146159838502,right
161,443,NN,174,0.12913396379719055,though
162,442,NN,175,0.1295829389444058,young
163,441,NN,177,0.13076736218724608,love
164,432,JJ,178,0.12882236164277996,officer
165,428,NN,179,0.1283465820091638,suddenly
166,426,JJ,180,0.12846050107636764,off
167,423,VB,182,0.1289731368787851,father
168,421,NN,184,0.1297739209100123,round
169,419,NN,185,0.12985936021041522,denísov
170,416,JJ,186,0.1296264962348073,us
171,414,JJ,187,0.12969685801160968,smile
172,409,NN,188,0.12881566052117974,everything
173,407,JJ,191,0.13023127245922786,never
174,401,NN,192,0.12898318856118543,let
175,400,NN,193,0.12933164688439727,whom
176,396,NN,194,0.12870174145397587,while
177,393,NN,196,0.12904349865558748,much
178,391,NN,197,0.12904182337518744,words
179,390,NN,198,0.1293651524923984,too
180,389,NN,200,0.13033681512443143,house
181,384,NN,201,0.12930484239799636,turned
182,383,NN,202,0.12960974343080672,dear
183,382,NN,204,0.13055125101563875,good
184,376,NN,205,0.12913061323639044,through
185,375,NN,206,0.12941541090440012,tell
186,374,NN,207,0.1296968580116097,quite
187,365,JJ,208,0.12718728797232437,under
188,357,NN,209,0.12499769648944993,think
189,356,NN,210,0.1252439627082583,get
190,350,VB,212,0.1243058056842264,battle
191,349,VB,214,0.1251199919586541,take
192,347,NN,215,0.12498429424624946,evidently
193,346,JJ,216,0.12520375597865693,understand
194,345,NN,217,0.1254198671502643,last
195,344,VB,218,0.1256326277610715,sat
196,339,NN,219,0.12437449218062872,yet
197,334,NN,220,0.12309960379618538,every
198,330,NN,221,0.12217819957615406,door
199,328,NN,222,0.12198721761054758,herself
200,326,NN,223,0.12178953452334085,dólokhov
201,325,DT,224,0.12196041312414665,already
202,323,NN,225,0.12175100307413952,most
203,319,JJ,226,0.12077766516170643,feeling
204,318,NN,227,0.12093179095851168,going
205,314,NN,228,0.11993667440087784,might
206,313,NN,229,0.12007907323488269,oh
207,311,NN,230,0.11983280701607431,god
208,309,NN,232,0.12009750131928332,place
209,307,NN,233,0.11983448229647437,stood
210,303,VB,234,0.11878073092483853,gave
211,301,NN,235,0.11850095909802903,horse
212,300,NN,236,0.11860985232403275,replied
213,299,NN,238,0.11921630382885337,expression
214,297,NN,239,0.11891642863724315,side
215,296,NNS,240,0.11901191962004641,commander
216,295,JJ,241,0.11910406004204956,order
217,294,NN,243,0.1196853823408693,war
218,293,DT,244,0.11976914636087214,anna
219,292,NN,245,0.11984955982007489,toward
220,291,DT,248,0.12090163591131066,anything
221,288,NN,249,0.12013770804888468,wife
222,282,JJ,251,0.11857969727683171,new
223,276,NN,252,0.11651910238476165,give
224,274,VB,253,0.11613378789274854,may
225,273,NN,254,0.11616729350074968,make
226,270,NN,255,0.11534305554392166,put
227,267,NN,256,0.1145087659046933,‘
228,266,DT,258,0.11497114329510902,also
229,265,JJ,259,0.11498287025790943,front
230,264,NN,260,0.1149912466599097,great
231,263,NN,261,0.11499627250110989,pétya
232,262,NN,263,0.11543687124632485,*
233,261,NN,264,0.11543352068552475,troops
234,260,VB,265,0.1154268195639245,ran
235,258,VB,267,0.11540336563832371,hands
236,257,NN,268,0.11538661283432315,both
237,255,NN,269,0.11491585904190714,three
238,252,NN,270,0.11398607841987553,soon
239,251,VB,271,0.11395424809227445,talk
240,249,VB,272,0.11346339093505776,want
241,246,NN,273,0.11250848110702528,shall
242,245,NN,275,0.11287201695383765,mother
243,244,NN,276,0.11282008326143587,shouted
244,243,NN,277,0.11276479900823401,vasíli
245,242,VB,278,0.112706164194232,taken
246,241,NN,279,0.11264417881942991,petersburg
247,240,NN,280,0.11257884288382768,between
248,236,DT,281,0.11109789501017732,alone
249,233,VB,282,0.11007597396614258,saying
250,232,NN,283,0.10999220994613974,word
251,231,VB,285,0.11029208513774993,many
252,230,NN,286,0.1101999447157468,things
253,229,NN,288,0.1104880929445566,letter
254,227,VB,290,0.11028370873574965,called
255,226,NN,291,0.110176490790146,mind
256,225,NN,292,0.11006592228374223,everyone
257,224,NN,294,0.11032726602615113,thing
258,223,NN,297,0.11095549617617248,sent
259,222,DT,298,0.11082985014616822,anatole
260,221,NN,302,0.11181156446060159,rode
261,220,JJ,303,0.11167419146779693,found
262,216,NN,305,0.1103674727557525,question
263,214,NN,307,0.11006257172294213,morning
264,213,NN,309,0.1102619300905489,evening
265,212,NN,312,0.11080974678136754,entered
266,210,NN,314,0.11046798957975591,brought
267,209,NN,317,0.11099235234497373,leave
268,208,DT,318,0.11080974678136753,added
269,206,NN,319,0.11008937620934305,does
270,205,RB,320,0.10989839424373654,near
271,203,NN,322,0.1095063786301232,really
272,202,NN,324,0.10964375162292789,got
273,201,VB,325,0.10943769213372087,taking
274,200,JJ,328,0.10989839424373654,orders
275,199,DT,329,0.10968228307212921,ask
276,198,JJ,332,0.11012623237814428,understood
277,196,NN,333,0.10934220115091764,fire
278,195,NN,334,0.10911101245570978,lay
279,194,VB,335,0.1088764731997018,days
280,193,NN,337,0.10896191250010472,woman
281,192,NN,339,0.10904065067890738,white
282,191,VB,342,0.10943266629252071,passed
283,189,NN,344,0.10892003049010329,wished
284,188,DT,346,0.1089736394629051,anyone
285,187,NN,350,0.109647102183728,movement
286,184,NN,352,0.10850456095088915,wish
287,183,NN,354,0.10852801487648996,end
288,182,VB,355,0.10823986664768015,each
289,181,NN,356,0.10794836785807024,turning
290,180,JJ,358,0.10795506897967047,friend
291,179,JJ,361,0.10825494417128068,small
292,178,NN,363,0.10824656776928038,given
293,177,DT,366,0.10852801487648996,arm
294,176,NN,367,0.10820971160047912,longer
295,175,RB,369,0.10818123183367817,nor
296,173,NN,372,0.10781434542606569,till
297,172,DT,373,0.10747928934605429,around
298,170,NN,377,0.10736872083965053,became
299,169,NN,380,0.10758650729165795,russia
300,168,NN,383,0.10779424206126499,thousand
301,167,JJ,386,0.10799192514847172,news
302,166,NN,389,0.10817955655327811,tears
303,164,NN,391,0.10742568037325248,ready
304,163,NNS,396,0.10813599926287662,conversation
305,162,NN,397,0.10774398364926331,better
306,161,NN,398,0.10734861747484985,find
307,160,NNS,400,0.10721794560364542,coming
308,159,NN,403,0.10734694219444979,rostóvs
309,158,NN,405,0.10720119279964485,world
310,157,NN,407,0.10704874228323966,honor
311,156,NN,411,0.10741227813005202,else
312,155,NN,413,0.10724307480964626,terrible
313,154,NN,417,0.10758315673085783,met
314,153,DT,418,0.10714088270524279,answered
315,152,NN,420,0.1069499007396363,set
316,151,NN,423,0.10700518499283818,pávlovna
317,150,JJ,426,0.10705041756363971,smiled
318,149,NN,427,0.10658636489282393,soul
319,147,NN,430,0.1058944740876004,tone
320,146,NN,434,0.10615246726920918,reply
321,145,JJ,437,0.10615414254960924,smiling
322,144,VB,442,0.10662824690282537,cause
323,143,NN,444,0.10636690316041648,different
324,142,DT,447,0.10633674811321545,answer
325,141,VB,452,0.10676897045643015,family
326,140,NN,456,0.1069499007396363,doing
327,139,JJ,459,0.10688456480403408,often
328,138,NN,464,0.10727155457644723,quickly
329,137,NNS,465,0.10672373788562861,cold
330,136,NN,469,0.10685608503723311,listened
331,135,DT,472,0.10674886709162947,alexander
332,134,NN,476,0.10685608503723311,sides
333,133,NN,480,0.1069499007396363,force
334,132,JJ,483,0.10680917718603151,used
335,131,NN,485,0.10643894021761892,society
336,130,NN,489,0.10649757503162091,girl
337,129,NN,493,0.10654280760242245,third
338,128,NN,496,0.10636020203881624,ever
339,127,NN,498,0.10595478418200246,known
340,126,NN,501,0.10575375053399562,either
341,125,NNS,507,0.10617089535360981,contrary
342,124,NN,511,0.10615246726920918,believe
343,123,NN,518,0.10673881540922911,m
344,122,NN,519,0.10607540437080656,become
345,121,NN,524,0.10621947848521146,work
346,120,NN,527,0.10594473249960211,true
347,119,NN,534,0.10645736830201954,kissed
348,118,NNS,539,0.10655118400442273,coat
349,117,NN,544,0.10662824690282537,yourself
350,116,NN,551,0.10707722205004064,second
351,115,NN,561,0.10808071500967475,perhaps
352,114,NN,565,0.10790481056766876,márya
353,113,NN,569,0.10771550388246233,lips
